account_id,customer_id,account_number,account_type,balance,currency,status,created_at
1,688833778006,SALARY,498715.54,INR,ACTIVE,2022-07-21 23:04:26
1,711203034246,CURRENT,85821.84,INR,FROZEN,2025-06-23 08:46:06
2,526468425099,SALARY,319830.41,INR,ACTIVE,2023-09-11 07:15:11
3,813326083087,SAVINGS,455397.86,INR,ACTIVE,2023-08-10 08:22:42
3,636667686963,NRE,17648.9,INR,ACTIVE,2023-08-28 11:53:43
3,711595982848,SALARY,402312.04,INR,ACTIVE,2023-04-08 14:28:09
4,837054665891,CURRENT,236266.96,INR,FROZEN,2023-11-03 22:12:44
4,208934193408,CURRENT,194934.27,INR,FROZEN,2025-01-11 15:15:35
4,578686926242,SALARY,50577.96,INR,ACTIVE,2024-01-05 02:12:16
5,118466507215,SAVINGS,415079.1,INR,ACTIVE,2023-04-23 11:57:44
6,752995718137,SALARY,8874.76,INR,ACTIVE,2024-05-12 19:09:15
6,104354267963,SAVINGS,31351.88,INR,ACTIVE,2022-08-10 17:51:00
7,483116573525,NRE,50490.05,INR,FROZEN,2025-02-03 07:49:43
7,484837332964,SAVINGS,416054.17,INR,ACTIVE,2024-02-03 04:44:14
8,553136787963,CURRENT,78210.36,INR,ACTIVE,2023-12-19 20:15:10
9,758898660982,CURRENT,137361.92,INR,FROZEN,2023-12-20 00:13:20
10,160790534133,SAVINGS,441787.75,INR,ACTIVE,2022-04-12 02:58:13
11,644271426460,NRE,492238.38,INR,ACTIVE,2023-03-09 04:59:47
12,214415256337,NRE,10352.03,USD,FROZEN,2025-03-25 15:37:47
12,574103868908,CURRENT,218402.59,INR,ACTIVE,2023-09-28 12:21:40
13,706517396112,CURRENT,301597.09,INR,ACTIVE,2022-12-29 22:51:46
14,774956686104,SALARY,398368.51,INR,ACTIVE,2022-06-01 11:18:05
15,032690535970,CURRENT,161441.85,INR,ACTIVE,2022-05-07 16:24:10
16,837512445132,NRE,387457.93,INR,ACTIVE,2025-07-16 23:34:03
17,353289610693,NRE,65346.88,INR,ACTIVE,2025-02-18 13:42:52
18,317999065039,SALARY,473886.47,INR,ACTIVE,2022-10-09 05:38:28
18,081788037131,CURRENT,360870.32,INR,ACTIVE,2023-05-02 16:10:22
19,772297916547,NRE,251950.44,INR,ACTIVE,2023-02-13 22:00:54
19,126851882729,CURRENT,415692.31,INR,FROZEN,2024-07-12 12:43:40
20,433302307310,NRE,348339.92,INR,ACTIVE,2024-07-07 22:24:14
20,002857512304,NRE,32340.77,USD,ACTIVE,2025-01-02 00:35:54
21,572035165395,SAVINGS,195836.41,INR,ACTIVE,2024-02-04 09:14:06
21,730261571336,NRE,490428.77,INR,ACTIVE,2022-10-04 02:17:50
22,902783338406,SALARY,179130.11,INR,FROZEN,2023-11-11 09:56:51
22,138783944958,NRE,40384.58,INR,ACTIVE,2025-01-22 10:41:44
23,063646308392,SAVINGS,38445.54,INR,ACTIVE,2022-11-24 01:08:01
24,670073356693,SAVINGS,287386.97,INR,ACTIVE,2023-07-25 09:05:17
25,015917726692,CURRENT,426560.32,INR,FROZEN,2024-06-30 03:11:46
25,899675221771,SALARY,254869.12,INR,ACTIVE,2022-10-12 08:37:09
25,705385603975,NRE,411846.36,INR,CLOSED,2022-06-01 16:22:59
26,518557158853,CURRENT,162007.71,INR,ACTIVE,2024-11-28 10:20:30
27,265135519167,SALARY,421422.47,INR,ACTIVE,2022-02-28 02:57:26
27,065674646294,NRE,149419.5,INR,ACTIVE,2024-06-19 15:07:56
28,263778913534,SALARY,225348.41,INR,ACTIVE,2024-02-26 22:24:18
29,998971194840,NRE,253216.79,EUR,ACTIVE,2023-12-24 01:46:17
30,486458487734,CURRENT,181899.36,INR,ACTIVE,2024-07-11 20:01:10
31,961937397155,SAVINGS,20418.07,INR,ACTIVE,2024-11-29 16:38:18
32,819336855545,NRE,408058.67,INR,ACTIVE,2024-05-03 21:15:07
33,886526952045,NRE,74740.08,INR,ACTIVE,2022-08-14 06:56:46
34,316479870123,NRE,263213.1,INR,ACTIVE,2024-12-27 12:27:49
35,686824922997,CURRENT,345429.72,INR,ACTIVE,2025-02-21 09:57:22
36,558337109096,NRE,107779.42,USD,ACTIVE,2025-02-25 09:53:21
37,652656047170,CURRENT,204046.82,USD,FROZEN,2024-09-04 23:41:07
38,936905579918,CURRENT,467027.38,INR,ACTIVE,2024-10-11 06:47:00
39,998051929549,NRE,137145.7,USD,ACTIVE,2024-07-28 23:36:12
39,217757188850,SAVINGS,93205.82,INR,ACTIVE,2023-05-24 00:14:55
40,279370660134,SALARY,345454.9,INR,FROZEN,2024-01-23 22:22:40
41,944937978876,SAVINGS,263227.82,INR,ACTIVE,2025-03-01 04:05:07
42,555135125058,NRE,66840.23,INR,ACTIVE,2025-02-18 16:50:04
43,302020475089,NRE,16835.7,INR,ACTIVE,2024-05-10 13:38:01
43,938936656315,CURRENT,364201.21,INR,ACTIVE,2022-02-16 10:51:47
44,743241187066,SAVINGS,121092.48,INR,ACTIVE,2024-07-03 21:45:52
45,820457719295,SALARY,119215.11,USD,CLOSED,2024-12-03 08:02:52
45,425571650363,SALARY,348457.9,INR,ACTIVE,2023-01-12 19:35:07
46,837895951226,NRE,423719.56,INR,ACTIVE,2023-01-26 01:52:35
47,668177548390,CURRENT,481076.7,INR,CLOSED,2024-09-07 08:49:57
48,732324633848,NRE,381052.86,INR,ACTIVE,2023-10-03 15:04:14
48,087055721252,SALARY,129406.05,USD,CLOSED,2024-10-01 16:46:41
49,717495600896,SAVINGS,206783.72,USD,ACTIVE,2022-11-06 00:19:58
